Bundesland;31.12.2003;31.12.2004;31.12.2005;31.12.2006;31.12.2007;31.12.2008;31.12.2009;31.12.2010;31.12.2011;31.12.2012;31.12.2013;31.12.2014;31.12.2015;31.12.2016;31.12.2017;31.12.2018;31.12.2019;31.12.2020;31.12.2021;31.12.2022
Baden-Württemberg;10692556;10717419;10735701;10738753;10749755;10749506;10744921;10753880;10512441;10569111;10631278;10716644;10879618;10951893;11023425;11069533;11100394;11103043;11124642;11280257
Bayern;12423386;12443893;12468726;12492658;12520332;12519728;12510331;12538696;12443372;12519571;12604244;12691568;12843514;12930751;12997204;13076721;13124737;13140183;13176989;13369393
Berlin;3388477;3387828;3395189;3404037;3416255;3431675;3442675;3460725;3326002;3375222;3421829;3469849;3520031;3574830;3613495;3644826;3669491;3664088;3677472;3755251
Brandenburg;2574521;2567704;2559483;2547772;2535737;2522493;2511525;2503273;2453180;2449511;2449193;2457872;2484826;2494648;2504040;2511917;2521893;2531071;2537868;2573135
Bremen;663129;663213;663467;663979;663082;661866;661716;660706;652182;654774;657391;661888;671489;678753;681032;682986;681202;680130;676463;684864
Hamburg;1734083;1734830;1743627;1754182;1770629;1772100;1774224;1786448;1718187;1734272;1746342;1762791;1787408;1810438;1830584;1841179;1847253;1852478;1853935;1892122
Hessen;6089428;6097765;6092354;6075359;6072555;6064953;6061951;6067021;5993771;6016481;6045425;6093888;6176172;6213088;6243262;6265809;6288080;6293154;6295017;6391360
Mecklenburg-Vorpommern;1732226;1719653;1707266;1693754;1679682;1664356;1651216;1642327;1606899;1600327;1596505;1599138;1612362;1610674;1611119;1609675;1608138;1610774;1611160;1628378
Niedersachsen;7993415;8000909;7993946;7982685;7971684;7947244;7928815;7918293;7774253;7778995;7790559;7826739;7926599;7945685;7962775;7982448;7993608;8003421;8027031;8140242
Nordrhein-Westfalen;18079686;18075352;18058105;18028745;17996621;17933064;17872763;17845154;17544938;17554329;17571856;17638098;17865516;17890100;17912134;17932651;17947221;17925570;17924591;18139116
Rheinland-Pfalz;4058682;4061105;4058843;4052860;4045643;4028351;4012675;4003745;3990033;3990278;3994366;4011582;4052803;4066053;4073679;4084844;4093903;4098391;4106485;4159150
Saarland;1061376;1056417;1050293;1043167;1036598;1030324;1022585;1017567;997855;994287;990718;989035;995597;996651;994187;990509;986887;983991;982348;992666
Sachsen;4321437;4296284;4273754;4249774;4220200;4192801;4168732;4149477;4054182;4050204;4046385;4055274;4084851;4081783;4081308;4077937;4071971;4056941;4043002;4086152
Sachsen-Anhalt;2522941;2494437;2469716;2441787;2412472;2381872;2356219;2335006;2276736;2259393;2244577;2235548;2245470;2236252;2223081;2208321;2194782;2180684;2169253;2186643
Schleswig-Holstein;2823171;2828760;2832950;2834254;2837373;2834260;2832027;2834259;2802266;2806531;2815955;2830864;2858714;2881926;2889821;2896712;2903773;2910875;2922005;2953270
Thüringen;2373157;2355280;2334575;2311140;2289219;2267763;2249882;2235025;2181603;2170460;2160840;2156759;2170714;2158128;2151205;2143145;2133378;2120237;2108863;2126846
