"rating","name","Positiv1","Positiv2","Positiv3","Negativ1","Negativ2","Negativ3"
3.57,"Bremen","Radfahren durch Alt und Jung","geöffnete Einbahnstr. in Gegenrichtung","Akzeptanz als Verkehrsteilnehmer","Fahrraddiebstahl","kaum öffentliche Fahrräder/-verleih","Oberfläche der (Rad)wege"
3.61,"Frankfurt am Main","Fahrradmitnahme im ÖV","Wegweisung für Radfahrer","Fahrradförderung in letzter Zeit","Fahrraddiebstahl","kaum öffentliche Fahrräder/-verleih","kaum Radfahren durch Alt und Jung"
3.63,"Hannover","Spaß und wenig Stress","zügiges Radfahren","Werbung für das Radfahren","kaum öffentliche Fahrräder/-verleih","Führung an Baustellen","negative Medienberichte"
3.84,"Leipzig","Erreichbarkeit Stadtzentrum","zügiges Radfahren","Radfahren durch Alt und Jung","Fahrraddiebstahl","wenig Winterdienst auf Radwegen","schlechte Wegweisung"
3.89,"München","wenig Fahrraddiebstahl","Winterdienst auf Radwegen","Reinigung der Radwege","begrenzte Fahrradmitnahme im ÖV","Fahrradförderung in letzter Zeit","Breite der (Rad)wege"
3.98,"Hamburg","Fahrradmitnahme im ÖV","öffentliche Fahrräder/-verleih","Fahrradförderung in letzter Zeit","schlechte Wegweisung","Oberfläche der (Rad)wege","Fahrraddiebstahl"
4.05,"Dresden","öffentliche Fahrräder/-verleih","Fahrradmitnahme im ÖV","Oberfläche der (Rad)wege","Verbot Einbahnstr. in Gegenrichtung","wenig Werbung für's Radfahren","wenig Fahrradförderung"
4.11,"Düsseldorf","Werbung für das Radfahren","Fahrradförderung in letzter Zeit","positive Medienberichte","Erreichbarkeit Stadtzentrum","Fahrradmitnahme im ÖV","augebremstes Radfahren"
4.13,"Berlin","Führung an Baustellen","zügiges Radfahren","Radfahren durch Alt und Jung","Fahrraddiebstahl","Oberfläche der (Rad)wege","Verbot Einbahnstr. in Gegenrichtung"
4.16,"Nürnberg","wenig Fahrraddiebstahl","öffentliche Fahrräder/-verleih","Oberfläche der (Rad)wege","begrenzte Fahrradmitnahme im ÖV","Falschparkerkontrolle auf Radwegen","augebremstes Radfahren"
4.2,"Stuttgart","wenig Fahrraddiebstahl","Fahrradmitnahme im ÖV","Winterdienst auf Radwegen","kaum Radfahren durch Alt und Jung","augebremstes Radfahren","wenig Fahrradförderung"
4.24,"Köln","Fahrradförderung in letzter Zeit","geöffnete Einbahnstr. in Gegenrichtung","öffentliche Fahrräder/-verleih","begrenzte Fahrradmitnahme im ÖV","Oberfläche der (Rad)wege","wenig Spaß, viel Stress"
4.27,"Dortmund","positive Medienberichte","wenig Fahrraddiebstahl","Werbung für das Radfahren","kaum Radfahren durch Alt und Jung","schwer erreichbares Stadtzentrum","augebremstes Radfahren"
4.28,"Essen","wenig Fahrraddiebstahl","Wegweisung für Radfahrer","wenig Konflikte mit Fußgängern","schwer erreichbares Stadtzentrum","augebremstes Radfahren","kaum Radfahren durch Alt und Jung"
